dataset,sample,rai_group,rai_group_remission,score,value
GSE151179,GSM4567920,RAI_refractory,RAI_refractory,RAIR_like,0.295592976197138
GSE151179,GSM4567921,RAI_refractory,RAI_refractory,RAIR_like,-2.75696094374514
GSE151179,GSM4567922,RAI_refractory,RAI_refractory,RAIR_like,1.70978509675901
GSE151179,GSM4567923,RAI_refractory,RAI_refractory,RAIR_like,1.19190219785259
GSE151179,GSM4567924,RAI_refractory,RAI_refractory,RAIR_like,0.233994301240168
GSE151179,GSM4567925,RAI_refractory,RAI_refractory,RAIR_like,1.32021687038719
GSE151179,GSM4567926,RAI_refractory,RAI_refractory,RAIR_like,-0.867966641720159
GSE151179,GSM4567927,RAI_refractory,RAI_refractory,RAIR_like,2.58653344906736
GSE151179,GSM4567928,RAI_refractory,RAI_refractory,RAIR_like,1.72945454849888
GSE151179,GSM4567929,RAI_refractory,RAI_refractory,RAIR_like,1.8831368060256
GSE151179,GSM4567930,RAI_refractory,RAI_refractory,RAIR_like,1.43296576694291
GSE151179,GSM4567931,RAI_refractory,RAI_refractory,RAIR_like,0.951005112894011
GSE151179,GSM4567932,RAI_refractory,RAI_refractory,RAIR_like,1.49874630745769
GSE151179,GSM4567933,RAI_refractory,RAI_refractory,RAIR_like,-0.469323350939911
GSE151179,GSM4567934,RAI_refractory,RAI_refractory,RAIR_like,-0.704045697774496
GSE151179,GSM4567935,RAI_refractory,RAI_refractory,RAIR_like,1.4970818567855
GSE151179,GSM4567936,RAI_refractory,RAI_refractory,RAIR_like,1.78674447818807
GSE151179,GSM4567937,RAI_refractory,RAI_refractory,RAIR_like,2.29839994247155
GSE151179,GSM4567938,RAI_refractory,RAI_refractory,RAIR_like,2.8534434917924
GSE151179,GSM4567939,RAI_refractory,RAI_refractory,RAIR_like,-0.299663861184682
GSE151179,GSM4567940,RAI_refractory,RAI_refractory,RAIR_like,1.02969467767441
GSE151179,GSM4567941,RAI_refractory,RAI_refractory,RAIR_like,-2.72391003938725
GSE151179,GSM4567942,RAI_refractory,RAI_refractory,RAIR_like,-0.220572784623845
GSE151179,GSM4567943,RAI_refractory,RAI_refractory,RAIR_like,2.24087575086868
GSE151179,GSM4567944,RAI_refractory,RAI_refractory,RAIR_like,1.39985923202022
GSE151179,GSM4567945,RAI_refractory,RAI_refractory,RAIR_like,2.03251050541708
GSE151179,GSM4567946,RAI_refractory,RAI_refractory,RAIR_like,1.85553677049115
GSE151179,GSM4567947,RAI_refractory,RAI_refractory,RAIR_like,1.86100048323362
GSE151179,GSM4567948,RAI_refractory,RAI_refractory,RAIR_like,0.789811012212132
GSE151179,GSM4567949,RAI_refractory,RAI_refractory,RAIR_like,0.129261904106419
GSE151179,GSM4567950,RAI_refractory,RAI_refractory,RAIR_like,1.9110994824105
