gene,spearman_rho_RAIR_like,p_value,p_adj
SLC8A2,0.369770972024798,8.28985526272192e-18,3.65762975214507e-17
LRPPRC,0.369766013868468,8.29882382735817e-18,3.66097789530189e-17
EDRF1,0.369712090210643,8.39698237197325e-18,3.70366402392688e-17
FRMD5,0.369698710695544,8.42151378894657e-18,3.71386657964417e-17
CIBAR1P1,0.369670974854813,8.47259244995815e-18,3.73577106595063e-17
PTDSS1,0.369659792066163,8.49327293481917e-18,3.74426720739593e-17
SLC52A2,0.369593784757213,8.61635690297929e-18,3.79789769372597e-17
AC105285.1,0.369541394959517,8.71529616340512e-18,3.8408696798552e-17
NR4A2,0.369529810123869,8.73732484560751e-18,3.84993818695323e-17
AL390726.5,-0.369413632779347,8.96128923167023e-18,3.94796808103778e-17
HLA-H,0.369394330737422,8.9990426070082e-18,3.96394228152606e-17
SHB,0.3693536675722,9.0790896494874e-18,3.99853780578288e-17
ANTXR2,0.369344451650652,9.09732871297718e-18,4.00590540239762e-17
ANP32B,0.369323385040136,9.13915677178805e-18,4.02365597557593e-17
AC126474.2,0.369320907246004,9.14408888829856e-18,4.02515934037517e-17
PRIMA1,-0.369306386277199,9.17304596512619e-18,4.03723605891716e-17
FAM171A2,0.369282518313943,9.22083856984342e-18,4.05759727776487e-17
