gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
GNS,0.363410716492696,6.94514176110157,4.6536623220491,5.22416028623162e-06,1.16362478589789e-05,2.86296671041055
AQP7,-0.537148759595229,0.863070338562231,-4.65349755080001,5.22801312626531e-06,1.16438519048962e-05,2.86225881695143
METTL15P1,0.330830924875081,1.52264714336855,4.65346117969918,5.22886395899441e-06,1.1644769152572e-05,2.86210256156874
AC104126.1,-0.796032084079096,1.34900367711461,-4.65315496337166,5.23603259718707e-06,1.1659754925536e-05,2.86078705389094
AC090579.1,0.305740523842759,1.24398206786723,4.65291010211374,5.24177169974541e-06,1.16714877757302e-05,2.85973518065124
AC010198.1,-0.137212316225053,0.282258308037519,-4.65289262947132,5.24218145819384e-06,1.16714877757302e-05,2.85966012358544
GOLGA2P7,0.151708059030524,0.509163017408827,4.65249274999469,5.25156763979779e-06,1.16906123273944e-05,2.85794243012446
AP001793.1,0.178605896165804,0.468348993101971,4.65248913418037,5.25165258588672e-06,1.16906123273944e-05,2.85792689886171
RPS12P26,0.313975666101812,1.12017845187437,4.65177924221401,5.26835568902195e-06,1.17268106911971e-05,2.85487784716711
NXT1,0.276605199756667,5.43249212923193,4.65151379208527,5.27461461831072e-06,1.17397572885812e-05,2.85373781521758
AC090695.1,0.163339526729064,0.440645390971304,4.65143108924935,5.27656609393913e-06,1.17431153794638e-05,2.85338264154966
AL391001.1,0.3263229568518,1.5326465294471,4.65098021967458,5.28721715269761e-06,1.1765832398696e-05,2.85144644138265
AC092287.1,-0.307715813006189,1.1080751133731,-4.65041200953445,5.30066968247212e-06,1.17947792968086e-05,2.84900656330667
AP000688.1,-0.128419105345424,0.290563427180279,-4.64896238238444,5.33513948433021e-06,1.18704839759556e-05,2.84278304624164
ECSIT,-0.333525848959754,5.54643796251114,-4.64724785851653,5.37618676958908e-06,1.19608093810383e-05,2.83542439398857
H3P47,0.262697615393573,1.3765160754614,4.64667936031099,5.38986415325385e-06,1.19902328521647e-05,2.83298493375216
AC068631.3,-0.433181235175765,1.211332136215,-4.646316495841,5.39861174897754e-06,1.20086855558388e-05,2.83142799213898
DRAM2,0.247888080446256,5.14459570602987,4.64598486640872,5.40661831512954e-06,1.20254869551506e-05,2.83000516044828
RTL8A,0.256470906656012,6.91043344129525,4.64543490096588,5.41992140270227e-06,1.20540651570454e-05,2.82764576327393
AP006621.6,0.206012998598836,0.832421744165366,4.64521946167102,5.42514124067448e-06,1.20646626886428e-05,2.82672157522529
AL606489.1,0.222784301250321,0.598188492808854,4.64393496369288,5.45636371575016e-06,1.21330793799974e-05,2.82121210787321
SYNE2,0.474176798139379,4.66835281043277,4.64381484373593,5.45929231945402e-06,1.21385740206066e-05,2.82069695530337
BOC,0.675810158560646,3.61504344581588,4.64375434776174,5.46076782420714e-06,1.21408370886697e-05,2.82043751344779
AC092803.4,0.173562805191625,0.4439298922092,4.64370452285798,5.46198334851652e-06,1.2142521815517e-05,2.82022383748136
AL133351.4,-0.281094171928561,1.03463619721977,-4.64242932187336,5.49318185955249e-06,1.22108557786382e-05,2.81475574951876
DHRS11,0.326342584524038,3.84930510021105,4.64229328776846,5.49652012137642e-06,1.22172526176999e-05,2.81417250739274
ID3,-0.588839966475441,8.20267145387927,-4.64203101312537,5.50296182653172e-06,1.22305459078827e-05,2.81304805352552
ZNF268,0.290801585964173,2.97595454804185,4.64180177783268,5.50859800782203e-06,1.22420468126246e-05,2.81206529370792
MRPL42,0.24579012145234,3.25801044677345,4.64137912059947,5.51900440699362e-06,1.22641460082025e-05,2.81025341782249
MSC-AS1,0.135444710039861,0.280924161501754,4.64045622750696,5.54179313012004e-06,1.23137547804962e-05,2.80629758130243
AL132780.5,-0.168175930161625,0.512429362565538,-4.64039021866384,5.54342653401629e-06,1.23163524785423e-05,2.80601467022222
KAT7,0.353656713509991,4.41601264750661,4.64008538388847,5.55097575546568e-06,1.23320923693034e-05,2.80470820552391
CNR2,-0.280541091662223,0.407847978280535,-4.63964228758841,5.56196667245575e-06,1.23554750819497e-05,2.80280930719578
TRAPPC2,0.252974590568059,3.35690695556247,4.63848277263742,5.5908274637635e-06,1.24185470862327e-05,2.79784090727742
RAE1,0.282747220607456,4.00625585054113,4.63777930922574,5.60840716776372e-06,1.24565526695219e-05,2.79482715192647
ZBTB26,0.381968842785202,3.36348668264191,4.6376335631774,5.61205604306279e-06,1.24636134124484e-05,2.79420279970444
NUTM2B-AS1,0.169275533477619,1.13137501933444,4.63699723383599,5.62801387741743e-06,1.24980072090728e-05,2.79147706321526
PTGR1,0.447509890820409,5.09470676674016,4.63642043791302,5.64251647715309e-06,1.25291639103435e-05,2.78900661315621
