"gene","median_high","median_low","delta_high_low","p_wilcox","rho_RAIR_like","p_rho_RAIR_like","rho_TDS","p_rho_TDS","priority_score"
"SHMT2",5.3424551869822,5.03725553849558,0.305199648486625,5.66593486725587e-22,0.49773850055813,0,0.0521017940303347,0.242419498900424,78
"GART",4.53251645392857,4.06808588407974,0.464430569848822,1.52113338330832e-29,0.582752821062518,2.91833594352624e-47,0.38946710149899,9.72649847588606e-20,78
"DHFR",2.99164428572424,2.55216415530621,0.439480130418028,1.46227618099286e-20,0.488993185032789,0,0.379394461185249,0,85
"CD44",7.6554849282651,7.11352070195526,0.541964226309839,1.51572464113203e-14,0.407555258631453,0,0.350834959272325,5.22862209885198e-16,85
"NTRK1",0.088548697010238,0.0595629426368856,0.0289857543733524,0.000205792352334322,0.204297727486095,3.68236424475528e-06,-0.236055210866242,7.98026511073089e-08,86
"ITGA6",5.55986498121335,5.09339166183662,0.466473319376736,2.25879415146637e-14,0.418727835516471,0,0.437365568855022,0,90
"VIM",9.69165681530411,9.36365437201216,0.328002443291954,1.27977939728598e-06,0.258490196845771,4.27797089354658e-09,0.291372460227389,3.0257099833791e-11,94
"MTOR",4.3473042286788,3.93276174612853,0.414542482550269,1.64032781120693e-19,0.462833002155021,3.5595131250049e-28,0.467334989725719,9.19650440072997e-29,94
"TERT",0,0,0,0.831115128271453,0.0186020076898181,0.67665769793594,-0.208504221408321,2.29010081728169e-06,96
"NTRK3",0.944258759613353,0.65041620074091,0.293842558872443,1.71828641449002e-06,0.244266974821728,2.69686131372003e-08,0.261278118118513,2.51012090458285e-09,97
"EPCAM",9.55250042104339,9.24275839283598,0.309742028207413,2.30120073919747e-13,0.393322375715832,0,0.369797973586178,0,99
"AKT1",5.25374728450582,4.88992139937456,0.363825885131261,7.60363143103691e-14,0.414930126553028,0,0.523719980693721,0,101
"FGFR1",3.50693193604357,3.32286119541567,0.184070740627906,0.0185021167471117,0.131974908639348,0.00296421325482626,0.352890918429364,2.95719417432301e-16,111
"BRAF",3.00113567523125,2.75448495671283,0.246650718518412,1.94305206895029e-10,0.332875655567319,1.56535040386727e-14,0.578221375978158,2.16346973184158e-46,112
"FGFR2",4.86475072853575,4.55984867772318,0.304902050812574,0.00452034734607654,0.139444068630465,0.00169737018714708,0.619514249561602,0,116
"PHGDH",4.64156336906794,4.52704022316964,0.114523145898304,0.160325535149013,0.0846333876702901,0.0573548309081227,0.441006983641073,1.90646340051692e-25,118
"SPRY4",4.89971702300228,4.7046228240369,0.195094198965373,0.000318335599599635,0.189111240316578,1.9536867030168e-05,0.645310493782297,0,119
"PSPH",4.01976417490726,3.93336811814348,0.0863960567637791,0.178782624465476,0.0561180962816778,0.207967160797859,0.754855920374646,0,127
"PSAT1",3.07808033950289,3.71419512623881,-0.636114786735922,0.00753437135843033,-0.10988589542184,0.0135179578451289,0.463662080493764,0,130
"VEGFA",6.23632997117824,6.23235224562236,0.00397772555587217,0.350905741109001,-0.0501659482718458,0.260383401062443,0.804480603339837,0,134
"KDR",5.39257502389379,5.59026703719153,-0.197692013297742,0.466669121251,-0.0486398950454052,0.275177538008662,0.767060060043271,0,134
